customer-id,first-name,last-name,country,state,city,score
C0091,Sophia,Ben Ali,Turkey,Istanbul,Istanbul,34
C0092,John,Trabelsi,USA,California,Los Angeles,77
C0093,Michael,Moore,Spain,Madrid,Alcala de Henares,56
C0094,Meriem,Brown,UAE,Dubai,Sharjah,25
C0095,Mohamed,Thomas,Germany,Bavaria,Nuremberg,1
C0096,Sofia,Johnson,Turkey,Istanbul,Bursa,9
C0097,James,Anderson,Italy,Lazio,Rome,93
C0098,Olivia,Anderson,Germany,Bavaria,Nuremberg,42
C0099,Daniel,Garcia,Spain,Madrid,Madrid,25
C0100,Lucas,Anderson,Spain,Madrid,Getafe,23
C0101,Olivia,Brown,UAE,Dubai,Sharjah,1
C0102,Daniel,Jaziri,Germany,Bavaria,Nuremberg,75
C0103,James,Miller,UAE,Dubai,Abu Dhabi,57
C0104,Alex,Lewis,Canada,Ontario,Ottawa,85
C0105,Daniel,Romano,France,Île-de-France,Boulogne-Billancourt,12
C0106,Olivia,Martin,Canada,Ontario,Ottawa,19
C0107,Mohamed,Martin,Tunisia,Tunis,Manouba,79
C0108,Laura,Williams,France,Île-de-France,Versailles,92
C0109,Nina,Brown,Spain,Madrid,Madrid,19
C0110,Omar,Clark,Tunisia,Tunis,Manouba,29
C0111,Laura,Trabelsi,USA,California,San Diego,16
C0112,Adam,Lewis,UK,England,Liverpool,86
C0113,James,Clark,Turkey,Istanbul,Bursa,79
C0114,Anna,Walker,Turkey,Istanbul,Izmit,58
C0115,Alex,Miller,USA,California,San Jose,97
C0116,Emma,Clark,Canada,Ontario,Hamilton,81
C0117,Emma,Miller,Canada,Ontario,Toronto,92
C0118,Ines,Bernard,Germany,Bavaria,Nuremberg,41
C0119,Amira,Gharbi,Turkey,Istanbul,Istanbul,30
C0120,Nour,Thomas,Spain,Madrid,Madrid,9
C0121,Leo,Smith,Spain,Madrid,Getafe,60
C0122,Lina,Jaziri,Spain,Madrid,Alcala de Henares,50
C0123,Sara,Hassan,UAE,Dubai,Sharjah,49
C0124,Ahmed,Johnson,UK,England,Birmingham,97
C0125,Leo,Garcia,Spain,Madrid,Getafe,95
C0126,Karim,Rossi,Turkey,Istanbul,Istanbul,35
C0127,Nina,Ben Ali,Spain,Madrid,Alcala de Henares,44
C0128,Ali,Walker,Spain,Madrid,Alcala de Henares,17
C0129,Sara,Brown,UAE,Dubai,Sharjah,73
C0130,Amira,Taylor,Tunisia,Tunis,Manouba,18
C0131,Sami,Trabelsi,UK,England,Birmingham,49
C0132,Rania,Miller,Italy,Lazio,Frosinone,44
C0133,Emma,Clark,Spain,Madrid,Alcala de Henares,33
C0134,Alex,Ben Ali,France,Île-de-France,Paris,45
C0135,Youssef,Clark,Canada,Ontario,Toronto,97
C0136,Ines,Jaziri,Tunisia,Tunis,Sfax,3
C0137,Nour,Martin,UAE,Dubai,Dubai,61
C0138,Rania,Miller,France,Île-de-France,Boulogne-Billancourt,99
C0139,Ali,Wilson,Italy,Lazio,Latina,96
C0140,Ali,Dubois,France,Île-de-France,Paris,75
C0141,Olivia,Martinez,Tunisia,Tunis,Sousse,49
C0142,Sofia,Mansouri,Spain,Madrid,Getafe,89
C0143,Omar,Thomas,Canada,Ontario,Mississauga,88
C0144,Meriem,Lewis,UAE,Dubai,Sharjah,6
C0145,Anna,Anderson,Italy,Lazio,Frosinone,9
C0146,Sophia,Ben Ali,Turkey,Istanbul,Bursa,63
C0147,Anna,Johnson,France,Île-de-France,Saint-Denis,91
C0148,Anna,Khalil,USA,California,San Jose,79
C0149,Alex,Miller,Turkey,Istanbul,Bursa,94
C0150,Emma,Smith,UAE,Dubai,Dubai,12
C0151,David,Martin,Germany,Bavaria,Nuremberg,73
C0152,Lucas,Smith,UAE,Dubai,Dubai,64
C0153,Sami,Rossi,Italy,Lazio,Rome,46
C0154,Sophia,Bernard,Germany,Bavaria,Augsburg,90
C0155,Ahmed,Romano,Germany,Bavaria,Munich,11
C0156,Leo,Rossi,Canada,Ontario,Ottawa,89
C0157,Nina,Miller,UK,England,London,12
C0158,Karim,Brown,Germany,Bavaria,Augsburg,32
C0159,Emily,Rossi,Germany,Bavaria,Augsburg,68
C0160,Anna,Moore,Italy,Lazio,Latina,43
C0161,Laura,Bernard,Italy,Lazio,Frosinone,33
C0162,Meriem,Moore,Canada,Ontario,Ottawa,41
C0163,Sami,Jaziri,France,Île-de-France,Versailles,95
C0164,Emma,Moore,UK,England,Birmingham,13
C0165,Daniel,Martin,Canada,Ontario,Mississauga,23
C0166,Ahmed,Thomas,Germany,Bavaria,Augsburg,17
C0167,Mohamed,Trabelsi,Germany,Bavaria,Augsburg,38
C0168,Nina,Haddad,USA,California,Los Angeles,74
C0169,Alex,Rossi,Germany,Bavaria,Nuremberg,44
C0170,Lina,Bernard,USA,California,San Francisco,15
C0171,Maya,Rossi,France,Île-de-France,Paris,74
C0172,Nour,Gharbi,Tunisia,Tunis,Sfax,73
C0173,Amira,Martin,Germany,Bavaria,Munich,72
C0174,Karim,Clark,Spain,Madrid,Getafe,49
C0175,David,Dubois,UK,England,Liverpool,40
C0176,Lina,Wilson,UAE,Dubai,Sharjah,13
C0177,Rania,Bernard,Canada,Ontario,Toronto,21
C0178,Sami,Garcia,Canada,Ontario,Toronto,21
C0179,Leo,Miller,Tunisia,Tunis,Sousse,77
C0180,Daniel,Trabelsi,UK,England,Manchester,37
C0181,Laura,Mansouri,Germany,Bavaria,Augsburg,30
C0182,Sofia,Williams,Germany,Bavaria,Munich,70
C0183,Nour,Bernard,Canada,Ontario,Ottawa,10
C0184,Ali,Lewis,Tunisia,Tunis,Ben Arous,77
C0185,Daniel,Miller,UAE,Dubai,Dubai,60
C0186,Maya,Bernard,Germany,Bavaria,Augsburg,70
C0187,David,Mansouri,UK,England,London,56
C0188,John,Ben Ali,Italy,Lazio,Rome,30
C0189,Sara,Clark,UAE,Dubai,Sharjah,35
C0190,Mohamed,Clark,UAE,Dubai,Dubai,61
C0191,David,Bernard,Turkey,Istanbul,Istanbul,75
C0192,Nina,Mansouri,Spain,Madrid,Alcala de Henares,45
C0193,Sophia,Smith,Spain,Madrid,Getafe,14
C0194,Sophia,Williams,USA,California,San Francisco,37
C0195,Mohamed,Miller,Spain,Madrid,Madrid,41
C0196,James,Haddad,Germany,Bavaria,Nuremberg,66
C0197,Laura,Williams,Tunisia,Tunis,Tunis,25
C0198,Emily,Wilson,Turkey,Istanbul,Bursa,81
C0199,Lina,Jaziri,UK,England,Birmingham,71
C0200,Daniel,Miller,USA,California,San Francisco,16
C0201,Ines,Thomas,Tunisia,Tunis,Ariana,40
C0202,Ahmed,Garcia,Turkey,Istanbul,Bursa,12
C0203,Meriem,Miller,Canada,Ontario,Toronto,83
C0204,Nina,Thomas,USA,California,San Jose,66
C0205,Leo,Walker,Germany,Bavaria,Nuremberg,61
C0206,Laura,Garcia,Canada,Ontario,Ottawa,50
C0207,Adam,Hassan,Canada,Ontario,Toronto,36
C0208,Sophia,Lewis,Spain,Madrid,Getafe,35
C0209,Daniel,Moore,Tunisia,Tunis,Ben Arous,76
C0210,Nina,Hassan,UAE,Dubai,Dubai,58
C0211,Alex,Johnson,Turkey,Istanbul,Bursa,71
C0212,Lucas,Miller,Turkey,Istanbul,Bursa,25
C0213,Lucas,Martin,Canada,Ontario,Hamilton,6
C0214,Alex,Thomas,Italy,Lazio,Frosinone,50
C0215,Nina,Trabelsi,USA,California,San Diego,65
C0216,Sophia,Hassan,UAE,Dubai,Dubai,57
C0217,Laura,Ben Ali,France,Île-de-France,Versailles,53
C0218,Youssef,Rossi,USA,California,San Jose,44
C0219,Maya,Taylor,UAE,Dubai,Dubai,43
C0220,Lucas,Smith,Turkey,Istanbul,Izmit,92
C0221,Mohamed,Wilson,UK,England,London,31
C0222,Karim,Moore,Germany,Bavaria,Munich,56
C0223,Omar,Miller,France,Île-de-France,Versailles,89
C0224,Sara,Trabelsi,Germany,Bavaria,Nuremberg,8
C0225,Michael,Johnson,Germany,Bavaria,Nuremberg,19
C0226,Leo,Martinez,Canada,Ontario,Ottawa,22
C0227,Amira,Wilson,USA,California,San Francisco,80
C0228,Nina,Martinez,Canada,Ontario,Ottawa,30
C0229,John,Miller,UK,England,Birmingham,86
C0230,Laura,Dubois,Tunisia,Tunis,Sousse,70
C0231,Youssef,Miller,USA,California,San Jose,76
C0232,Anna,Thomas,Germany,Bavaria,Nuremberg,59
C0233,Sofia,Brown,Germany,Bavaria,Nuremberg,14
C0234,Lucas,Martinez,Canada,Ontario,Mississauga,74
C0235,Daniel,Ben Ali,Germany,Bavaria,Augsburg,51
C0236,Ahmed,Martinez,Germany,Bavaria,Augsburg,100
C0237,Nina,Walker,Tunisia,Tunis,Ben Arous,100
C0238,Michael,Martin,Canada,Ontario,Ottawa,80
C0239,Adam,Taylor,Germany,Bavaria,Munich,81
C0240,Olivia,Lewis,Tunisia,Tunis,Manouba,5
C0241,Emily,Moore,UAE,Dubai,Dubai,12
C0242,James,Moore,Germany,Bavaria,Nuremberg,23
C0243,Adam,Lewis,Canada,Ontario,Mississauga,68
C0244,Emma,Walker,Turkey,Istanbul,Istanbul,33
C0245,Daniel,Moore,UK,England,Birmingham,15
C0246,Youssef,Gharbi,UK,England,Manchester,87
C0247,Emily,Mansouri,Spain,Madrid,Alcala de Henares,2
C0248,Meriem,Miller,Germany,Bavaria,Nuremberg,87
C0249,Lucas,Walker,Germany,Bavaria,Augsburg,48
C0250,Karim,Rossi,France,Île-de-France,Paris,80
C0251,James,Wilson,Turkey,Istanbul,Istanbul,83
C0252,Laura,Thomas,France,Île-de-France,Boulogne-Billancourt,84
C0253,Meriem,Gharbi,Spain,Madrid,Madrid,5
C0254,Nina,Haddad,Germany,Bavaria,Munich,31
C0255,Adam,Brown,Turkey,Istanbul,Bursa,48
C0256,Leo,Martinez,Turkey,Istanbul,Izmit,94
C0257,Leo,Taylor,USA,California,Los Angeles,63
C0258,Leo,Bernard,UAE,Dubai,Dubai,89
C0259,Rania,Miller,Italy,Lazio,Frosinone,31
C0260,Omar,Anderson,Italy,Lazio,Frosinone,70
C0261,Lina,Brown,Italy,Lazio,Frosinone,25
C0262,Laura,Mansouri,France,Île-de-France,Versailles,83
C0263,Sara,Trabelsi,UAE,Dubai,Abu Dhabi,32
C0264,Rania,Mansouri,USA,California,San Diego,76
C0265,Karim,Smith,Canada,Ontario,Ottawa,77
C0266,Emma,Hassan,Tunisia,Tunis,Ariana,17
C0267,John,Lewis,Turkey,Istanbul,Istanbul,15
C0268,Adam,Ben Ali,Tunisia,Tunis,Ben Arous,31
C0269,James,Ben Ali,UAE,Dubai,Dubai,34
C0270,Adam,Moore,Tunisia,Tunis,Manouba,68
C0271,Youssef,Rossi,France,Île-de-France,Saint-Denis,100
C0272,Omar,Miller,Italy,Lazio,Latina,29
C0273,Mohamed,Moore,UAE,Dubai,Sharjah,67
C0274,Laura,Taylor,Germany,Bavaria,Munich,8
C0275,Maya,Williams,UK,England,London,63
C0276,Youssef,Mansouri,UK,England,Birmingham,78
C0277,Youssef,Gharbi,USA,California,San Jose,80
C0278,James,Brown,UAE,Dubai,Sharjah,68
C0279,Laura,Romano,Germany,Bavaria,Augsburg,56
C0280,Meriem,Hassan,France,Île-de-France,Versailles,56
C0281,Karim,Williams,UK,England,Birmingham,59
C0282,Leo,Moore,Spain,Madrid,Madrid,41
C0283,James,Anderson,Spain,Madrid,Alcala de Henares,48
C0284,Alex,Mansouri,USA,California,Los Angeles,11
C0285,Anna,Haddad,France,Île-de-France,Boulogne-Billancourt,17
C0286,Lina,Martinez,Turkey,Istanbul,Izmit,72
C0287,Meriem,Williams,Italy,Lazio,Frosinone,86
C0288,Lina,Dubois,Spain,Madrid,Getafe,40
C0289,Omar,Martinez,Italy,Lazio,Latina,28
C0290,Alex,Martin,USA,California,Los Angeles,45
C0291,Emily,Haddad,Turkey,Istanbul,Bursa,74
C0292,Anna,Hassan,Canada,Ontario,Toronto,78
C0293,Sara,Khalil,Germany,Bavaria,Nuremberg,90
C0294,Sophia,Johnson,Germany,Bavaria,Munich,24
C0295,Maya,Mansouri,USA,California,San Diego,95
C0296,Amira,Moore,Tunisia,Tunis,Bizerte,28
C0297,Leo,Miller,Spain,Madrid,Alcala de Henares,21
C0298,Olivia,Moore,Italy,Lazio,Frosinone,100
C0299,Amira,Trabelsi,UAE,Dubai,Dubai,21
C0300,Lina,Anderson,UAE,Dubai,Dubai,35
C0301,Anna,Rossi,UK,England,Liverpool,54
C0302,Rania,Clark,Germany,Bavaria,Augsburg,15
C0303,Anna,Haddad,Italy,Lazio,Frosinone,87
C0304,Nina,Romano,UAE,Dubai,Sharjah,40
C0305,Karim,Brown,Tunisia,Tunis,Bizerte,8
C0306,Rania,Dubois,Tunisia,Tunis,Ariana,99
C0307,John,Dubois,USA,California,San Jose,16
C0308,Nina,Moore,Tunisia,Tunis,Manouba,23
C0309,Lucas,Garcia,USA,California,San Diego,65
C0310,Michael,Mansouri,Turkey,Istanbul,Bursa,95
C0311,Anna,Ben Ali,Tunisia,Tunis,Manouba,10
C0312,Anna,Martinez,Italy,Lazio,Frosinone,91
C0313,Daniel,Haddad,Spain,Madrid,Alcala de Henares,3
C0314,Ali,Lewis,Italy,Lazio,Latina,59
C0315,Amira,Williams,Italy,Lazio,Rome,32
C0316,Maya,Romano,Spain,Madrid,Madrid,51
C0317,Sophia,Martin,Germany,Bavaria,Nuremberg,100
C0318,Youssef,Romano,USA,California,Los Angeles,68
C0319,Sofia,Clark,Turkey,Istanbul,Bursa,45
C0320,Ines,Haddad,USA,California,San Diego,33
C0321,Sami,Wilson,Canada,Ontario,Ottawa,98
C0322,Sami,Clark,France,Île-de-France,Saint-Denis,60
C0323,David,Anderson,UAE,Dubai,Sharjah,83
C0324,James,Hassan,UAE,Dubai,Sharjah,41
C0325,David,Mansouri,USA,California,San Francisco,57
C0326,Emma,Martinez,Germany,Bavaria,Munich,46
C0327,Youssef,Dubois,Turkey,Istanbul,Bursa,58
C0328,Lina,Johnson,Tunisia,Tunis,Sfax,37
C0329,Amira,Wilson,France,Île-de-France,Saint-Denis,60
C0330,Mohamed,Miller,UAE,Dubai,Sharjah,84
C0331,James,Wilson,Canada,Ontario,Hamilton,65
C0332,Lina,Miller,USA,California,Los Angeles,44
C0333,Sami,Trabelsi,France,Île-de-France,Versailles,91
C0334,David,Romano,UK,England,Manchester,47
C0335,Daniel,Brown,Italy,Lazio,Frosinone,100
C0336,Lina,Lewis,Italy,Lazio,Latina,83
C0337,Youssef,Smith,Italy,Lazio,Rome,72
C0338,Daniel,Bernard,Spain,Madrid,Getafe,85
C0339,Nour,Smith,UAE,Dubai,Dubai,75
C0340,Michael,Dubois,USA,California,San Francisco,17
C0341,Amira,Dubois,UAE,Dubai,Sharjah,49
C0342,Adam,Anderson,Italy,Lazio,Latina,95
C0343,Amira,Taylor,Turkey,Istanbul,Izmit,55
C0344,Emily,Ben Ali,Turkey,Istanbul,Bursa,40
C0345,Rania,Smith,USA,California,San Francisco,25
C0346,Adam,Gharbi,Canada,Ontario,Toronto,38
C0347,Mohamed,Anderson,France,Île-de-France,Boulogne-Billancourt,99
C0348,Adam,Wilson,UAE,Dubai,Abu Dhabi,20
C0349,Sami,Walker,USA,California,San Diego,93
C0350,Mohamed,Williams,UK,England,Birmingham,87
C0351,David,Wilson,Canada,Ontario,Mississauga,97
C0352,Karim,Garcia,UK,England,Manchester,40
C0353,Sofia,Johnson,UK,England,Liverpool,60
C0354,Lucas,Romano,Germany,Bavaria,Augsburg,54
C0355,Sofia,Lewis,USA,California,San Diego,33
C0356,Alex,Hassan,Tunisia,Tunis,Ben Arous,71
C0357,Meriem,Dubois,France,Île-de-France,Paris,98
C0358,Emma,Miller,USA,California,San Diego,56
C0359,Karim,Walker,France,Île-de-France,Saint-Denis,45
C0360,Leo,Trabelsi,Tunisia,Tunis,Manouba,65
C0361,Ines,Brown,Italy,Lazio,Rome,48
C0362,Sara,Smith,Canada,Ontario,Toronto,92
C0363,Nour,Gharbi,Italy,Lazio,Rome,37
C0364,Adam,Clark,UK,England,Liverpool,58
C0365,Ahmed,Mansouri,UAE,Dubai,Dubai,33
C0366,Nour,Garcia,Canada,Ontario,Hamilton,15
C0367,Ines,Dubois,Germany,Bavaria,Munich,7
C0368,Leo,Taylor,Canada,Ontario,Hamilton,9
C0369,Nina,Wilson,France,Île-de-France,Paris,81
C0370,Ines,Thomas,Turkey,Istanbul,Istanbul,38
C0371,Ahmed,Wilson,Spain,Madrid,Alcala de Henares,31
C0372,Leo,Khalil,UAE,Dubai,Sharjah,86
C0373,Emily,Mansouri,France,Île-de-France,Paris,50
C0374,Mohamed,Taylor,UK,England,Liverpool,48
C0375,Sara,Johnson,Germany,Bavaria,Munich,45
C0376,Omar,Clark,Canada,Ontario,Mississauga,18
C0377,Michael,Garcia,Tunisia,Tunis,Ben Arous,83
C0378,Laura,Thomas,USA,California,San Francisco,81
C0379,Adam,Mansouri,USA,California,San Francisco,5
C0380,Sofia,Trabelsi,Germany,Bavaria,Munich,6
C0381,Olivia,Romano,Italy,Lazio,Frosinone,70
C0382,John,Trabelsi,UK,England,Manchester,37
C0383,Lina,Hassan,Italy,Lazio,Latina,43
C0384,Meriem,Lewis,Germany,Bavaria,Nuremberg,56
C0385,David,Brown,Spain,Madrid,Alcala de Henares,24
C0386,Nina,Johnson,UK,England,Birmingham,11
C0387,Amira,Williams,Spain,Madrid,Getafe,24
C0388,Daniel,Smith,Turkey,Istanbul,Istanbul,11
C0389,Daniel,Dubois,Italy,Lazio,Frosinone,78
C0390,Ali,Thomas,Spain,Madrid,Alcala de Henares,45
C0391,Mohamed,Moore,UK,England,Birmingham,79
C0392,Emma,Taylor,Spain,Madrid,Madrid,10
C0393,Emily,Romano,Spain,Madrid,Getafe,87
C0394,Sara,Gharbi,USA,California,San Francisco,5
C0395,Youssef,Martin,USA,California,San Jose,47
C0396,Mohamed,Wilson,Spain,Madrid,Madrid,87
C0397,Emily,Johnson,UK,England,Liverpool,98
C0398,Adam,Romano,France,Île-de-France,Boulogne-Billancourt,51
C0399,Emma,Martin,Italy,Lazio,Rome,4
C0400,Nina,Romano,USA,California,San Francisco,72
C0401,John,Clark,France,Île-de-France,Boulogne-Billancourt,91
C0402,Rania,Wilson,UK,England,Birmingham,89
C0403,Sofia,Haddad,UK,England,Manchester,10
C0404,Sami,Thomas,UK,England,Liverpool,12
C0405,Michael,Thomas,Italy,Lazio,Rome,71
C0406,Daniel,Dubois,Turkey,Istanbul,Istanbul,92
C0407,Emily,Romano,USA,California,San Diego,16
C0408,Adam,Martin,Canada,Ontario,Hamilton,4
C0409,Emily,Miller,Italy,Lazio,Latina,17
C0410,Amira,Mansouri,UAE,Dubai,Abu Dhabi,51
C0411,Leo,Clark,UK,England,Liverpool,74
C0412,Adam,Smith,France,Île-de-France,Paris,58
C0413,Michael,Gharbi,UK,England,Manchester,99
C0414,Anna,Romano,USA,California,Los Angeles,16
C0415,Nour,Dubois,Turkey,Istanbul,Istanbul,21
C0416,Karim,Johnson,Italy,Lazio,Latina,37
C0417,John,Jaziri,France,Île-de-France,Boulogne-Billancourt,17
C0418,Amira,Romano,Germany,Bavaria,Augsburg,22
C0419,Nour,Khalil,UAE,Dubai,Sharjah,80
C0420,Sophia,Walker,UAE,Dubai,Sharjah,6
C0421,Amira,Trabelsi,Tunisia,Tunis,Sousse,99
C0422,John,Taylor,UAE,Dubai,Dubai,99
C0423,Leo,Wilson,UAE,Dubai,Sharjah,4
C0424,Daniel,Taylor,UK,England,Birmingham,62
C0425,Maya,Dubois,Canada,Ontario,Hamilton,10
C0426,Ali,Miller,Tunisia,Tunis,Manouba,62
C0427,Rania,Smith,UK,England,Manchester,41
C0428,Michael,Brown,Italy,Lazio,Rome,98
C0429,Omar,Smith,Italy,Lazio,Rome,60
C0430,Emma,Miller,France,Île-de-France,Versailles,19
C0431,Lina,Dubois,France,Île-de-France,Saint-Denis,79
C0432,Ines,Hassan,Spain,Madrid,Madrid,42
C0433,James,Jaziri,UAE,Dubai,Dubai,64
C0434,Laura,Rossi,Turkey,Istanbul,Bursa,64
C0435,Amira,Brown,Tunisia,Tunis,Bizerte,59
C0436,Rania,Martinez,Canada,Ontario,Mississauga,7
C0437,Daniel,Rossi,Tunisia,Tunis,Bizerte,84
C0438,Daniel,Garcia,UK,England,London,14
C0439,Adam,Bernard,Spain,Madrid,Getafe,47
C0440,Emily,Trabelsi,Spain,Madrid,Alcala de Henares,7
C0441,Sofia,Johnson,UAE,Dubai,Sharjah,37
C0442,Lucas,Romano,France,Île-de-France,Saint-Denis,98
C0443,Emma,Walker,Turkey,Istanbul,Izmit,88
C0444,Meriem,Gharbi,UAE,Dubai,Dubai,51
C0445,Sophia,Garcia,Italy,Lazio,Frosinone,97
C0446,Sofia,Wilson,USA,California,San Francisco,65
C0447,Mohamed,Trabelsi,Tunisia,Tunis,Ariana,92
C0448,Alex,Romano,Italy,Lazio,Frosinone,20
C0449,Adam,Smith,UAE,Dubai,Sharjah,41
C0450,Maya,Wilson,USA,California,San Jose,76
C0451,Nina,Thomas,Italy,Lazio,Latina,39
C0452,Sara,Johnson,UK,England,Birmingham,87
C0453,Leo,Martinez,France,Île-de-France,Boulogne-Billancourt,93
C0454,Alex,Bernard,Tunisia,Tunis,Sousse,100
C0455,Karim,Moore,UAE,Dubai,Dubai,75
C0456,Ali,Romano,UK,England,Liverpool,19
C0457,Mohamed,Martinez,Canada,Ontario,Toronto,25
C0458,David,Smith,Tunisia,Tunis,Manouba,20
C0459,Rania,Williams,Spain,Madrid,Getafe,100
C0460,Alex,Hassan,UAE,Dubai,Sharjah,94
C0461,Adam,Romano,Tunisia,Tunis,Ariana,72
C0462,Alex,Romano,Italy,Lazio,Frosinone,41
C0463,Laura,Garcia,USA,California,San Jose,70
C0464,John,Wilson,Italy,Lazio,Frosinone,25
C0465,Emma,Garcia,Canada,Ontario,Mississauga,29
C0466,Daniel,Thomas,Germany,Bavaria,Munich,89
C0467,James,Rossi,UK,England,Birmingham,72
C0468,Daniel,Haddad,Germany,Bavaria,Augsburg,87
C0469,Lucas,Brown,Turkey,Istanbul,Bursa,99
C0470,Daniel,Trabelsi,USA,California,San Jose,92
C0471,Michael,Miller,France,Île-de-France,Boulogne-Billancourt,96
C0472,Rania,Jaziri,UK,England,Birmingham,72
C0473,Adam,Haddad,Germany,Bavaria,Augsburg,95
